title,price,monthday,year,room,m2,location
ŞEHİR MERKEZİNDE BELEDİYE KARŞISINDA 4+1 KİRALIK DAİRE,16.000 TL,04 Aralık,2025,4+1,120,"Kutlubey
Pirimehmet Mah."
PARLAİS EMLAKTAN FATİH ÜSTÜNDE BALKONLU LÜX 1+1 APART DAİRE,11.500 TL,04 Aralık,2025,1+1,55,"Anadolu
Zafer Mah."
Sahibinden kiralık bahçe katı,6.000 TL,04 Aralık,2025,3+1,100,"Kutlubey
Gülistan Mh."
AYAZMANA DA SİTE İÇERİSİNDE 3+1 MANZARALI MASRAFSIZ KİRALIK DAİR,22.500 TL,04 Aralık,2025,3+1,150,"Çelebiler
Ayazmana Mah."
ÇELİKEV GAYRİMENKUL'DEN FATİHTE HER ŞEY DAHİL GENİŞ 1+1 APART,9.000 TL,04 Aralık,2025,1+1,55,"Anadolu
Fatih Mah."
ASYA EMLAK TAN MEYDAN AVM YAKINI BALKONLU 1+1 ARAKAT,10.000 TL,04 Aralık,2025,1+1,45,"Kutlubey
Bağlar Mh."
ASYA EMLAK TAN MODERNEVLERDE BALKONLU GENİŞ 2+1 ARAKAT,11.000 TL,04 Aralık,2025,2+1,65,"Anadolu
Modern Evler Mah."
Sav Yolu Yıldız Sitesinde Kiralık Sıfır 3+1 Daire,21.000 TL,04 Aralık,2025,3+1,130,"Çelebiler
Vatan Mah."
ÇARŞI MERKEZ 1+1 2.KAT 60M2 GENİŞ EŞYALI LÜX APART DAİRE,12.500 TL,04 Aralık,2025,1+1,65,"Çelebiler
İskender Mh."
ÖZKANLAR MEVKİİ 4+1 ÇATI DUBLEX 110 M2 BAKIMLI DAİRE,17.000 TL,04 Aralık,2025,4+1,110,"Anadolu
Sanayi Mah."
MNS GAYRİMENKULDEN KİRALIK MODERNEVLER MAH 2+0 ARAKAT APART,10.000 TL,04 Aralık,2025,2+0,55,Anadolu
TEKİN EMLAKTAN KİRALIK,8.000 TL,06 Aralık,2025,Stüdyo (1+0),25,"Kutlubey
Bağlar Mh."
Merkezde 1+1 2.kat esyali apart daire,8.000 TL,04 Aralık,2025,1+1,40,"Kutlubey
Pirimehmet Mah."
DİNÇER GYD-İYAŞA 1 DK MESAFE ARA KAT 1+1 YAKIT NET DAHİL 11.000₺,11.000 TL,04 Aralık,2025,1+1,50,"Anadolu
Fatih Mah."
32 ARTIBİR EMLAKTAN İYAŞ AVM CİVARI HERŞEY DAHİL APART DAİRE,6.000 TL,04 Aralık,2025,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh."
"Şehir Hastanesi karşısında, 3+1 doğalgazlı, aileye kiralık",20.000 TL,04 Aralık,2025,3+1,165,"Kepeci
Davraz Mah."
Orman Müd Karşısı -Full Tadilatlı Kiralık 3+1,20.000 TL,04 Aralık,2025,3+1,130,"Anadolu
Modern Evler Mah."
İSTİKLAL MAH. 2+1 KİRALIK DAİRE (Ofis kullanımına da uygundur),15.000 TL,04 Aralık,2025,2+1,120,"Kepeci
İstiklal Mh."
MNS GAYRİMENKULDEN KİRALIK MUZAFFER TÜRKEŞMAH 3+1 SİTE İÇE DAİRE,20.000 TL,04 Aralık,2025,3+1,150,"Anadolu
Muzaffer Türkeş Mh."
Çünür'de Kiralık Arakat 3+1 Daire,20.000 TL,04 Aralık,2025,3+1,125,"Anadolu
Çünür Mh."
HALİFESULTAN MAHALLESİNDE KİRALIK GENİŞ 3+1 DAİRE,18.000 TL,04 Aralık,2025,3+1,170,"Çelebiler
Halife Sultan Mah."
SÖYLEYİCİ İNŞ AZURE SİTESİ KİRALIK 3+1 120 MT2,25.000 TL,03 Aralık,2025,3+1,150,"Anadolu
Muzaffer Türkeş Mh."
Ramada Otel Karşısı 1+1 ve 2+1 Kiralık Öğrenciye Apart Daireler,10.000 TL,03 Aralık,2025,2+1,65,"Anadolu
Sanayi Mah."
KOLÇELİK KAVŞAĞINDA KİRALIK 3+1 DAİRE,15.000 TL,03 Aralık,2025,3+1,120,"Anadolu
Yeni Mh."
SİDRE MAH 2+1 SIFIR KİRALIK DAİRE,15.000 TL,03 Aralık,2025,2+1,100,"Çelebiler
Sidre Mah."
Çarşı merkezde kiralık apart,11.000 TL,03 Aralık,2025,2+1,50,"Anadolu
Fatih Mah."
PARS YAPI EMLAKTAN ÇÜNÜRDE SİTE İÇERİSİNDE 3+1 KİRALIK DAİRE,21.000 TL,04 Aralık,2025,3+1,145,"Anadolu
Çünür Mh."
Kiralık 3+1 şehir manzaralı,21.000 TL,03 Aralık,2025,3+1,160,"Kutlubey
Binbirevler Mah."
32 ARTIBİR EMLAKTAN ÇÜNÜR METRO VİZYON SİTESİ GÜVENLİK'Lİ LÜKS,30.000 TL,05 Aralık,2025,3+1,150,"Anadolu
Çünür Mh."
ISPARTA FATİH MAHALLESİNDE 2+0 APART DAİRE,7.500 TL,03 Aralık,2025,2+0,50,"Anadolu
Fatih Mah."
ISPARTA ÇARŞI MERKEZDE KİRALIK 3+1 DAİRE-İŞYERİ,18.000 TL,03 Aralık,2025,3+1,145,"Kutlubey
Pirimehmet Mah."
Sahibinden kiralık eşyalı apart,7.500 TL,03 Aralık,2025,Stüdyo (1+0),30,"Anadolu
Yedişehitler Mh."
32 ARTIBİR EMLAKTAN HIZIRBEY'DE 3+1 DAİRE,15.000 TL,03 Aralık,2025,3+1,150,"Kutlubey
Hızırbey Mh."
BAĞLAR MAHALLESİNDE MEYDAN AVM'YE YAKIN BALKONLU 1+1 APARTLAR,10.000 TL,03 Aralık,2025,1+1,50,"Kutlubey
Bağlar Mh."
ŞEHİR HASTANESİ KARŞISI 2+1 DAİRE,20.000 TL,03 Aralık,2025,2+1,100,"Kepeci
Davraz Mah."
ÇÜNÜR MAHALLESİ'NDE 1+1 KİRALIK APART,15.000 TL,03 Aralık,2025,1+1,40,"Anadolu
Çünür Mh."
HIZIRBEY MAHALLESİNDE SAHİBİNDEN KİRALIK 3+1 ARAKAT DAİRE,22.000 TL,03 Aralık,2025,3+1,120,"Kutlubey
Hızırbey Mh."
Turan mah kiralık geniş 2+1 daire bireysel kombili,10.000 TL,03 Aralık,2025,2+1,105,"Çelebiler
Turan Mah."
,,,,,,
ISPARTA MERKEZ BELEDİYE YE YAKIN 100 M2 2+1 EŞYALI DAİRE,11.000 TL,04 Aralık,2025,2+1,110,"Kutlubey
Pirimehmet Mah."
Isparta Merkez Gülistan taksiye yakın kiralık 2+1 apart,10.000 TL,04 Aralık,2025,2+1,55,"Kutlubey
Bağlar Mh."
Bahçelievler'de Kiralık Arakat 1+1 Çok Geniş Apart,12.500 TL,05 Aralık,2025,1+1,40,"Anadolu
Bahçelievler Mh."
ÖZKANLAR KAVŞAĞINA 30 ADIM HERŞEY DAHİL ARA KAT 1+0 APART 7.000₺,7.000 TL,03 Aralık,2025,Stüdyo (1+0),25,"Kutlubey
Pirimehmet Mah."
SAĞLIK PARKI YANI KİRALK 60m2 BALKNLU 2+1 B.MAKİNALI APRT 14.500,14.500 TL,03 Aralık,2025,2+1,70,"Anadolu
Modern Evler Mah."
ZAFERDE KİRALİK 2+1 DAİRE,9.000 TL,03 Aralık,2025,2+1,85,"Anadolu
Zafer Mah."
"ZİRAAT EMLAK' TAN KİRALIK PLUSLİFE SİTESİNDE 4+1,MEGA LÜKS DAİRE",35.000 TL,03 Aralık,2025,4+1,211,"Anadolu
Sanayi Mah."
İLAN 32 GYD - MEYDAN AVM KARŞISI KİRALIK DAİRE,20.500 TL,03 Aralık,2025,2+1,120,"Kutlubey
Pirimehmet Mah."
ANADOLU MAHALLESİNDE KİRALIK 3+1 TEMİZ BAKIMLI MASRAFSIZ DAİRE,10.000 TL,03 Aralık,2025,3+1,130,Anadolu
ÇARŞI MERKEZ 1+1 GENİŞ FERAH 60 M2 EŞYALI ASANSÖRLÜ APART DAİRE,10.000 TL,04 Aralık,2025,1+1,60,"Çelebiler
İskender Mh."
DİNÇER GYD-MODERNEVLER MAH SIFIR EŞYALI BALKONLU 1+1'LER 20.000₺,20.000 TL,04 Aralık,2025,1+1,55,"Anadolu
Modern Evler Mah."
MODERN EVL. MAH. KİRALIK 2+0,14.000 TL,03 Aralık,2025,2+0,55,"Anadolu
Modern Evler Mah."
ASYA EMLAK TAN ÜLKÜ OKUL YAKINI 2+1 BAHÇEKATI,11.000 TL,03 Aralık,2025,2+1,60,Kepeci
ASYA EMLAK TAN ÇARŞIDA YAKIT ELKTRİK SU DAH 1+1,10.000 TL,03 Aralık,2025,1+1,45,"Tokmacık
Yayla Mah."
"HERŞEY DAHİL, SAHİBİNDEN KİRALIK, BALKONLU 2+1 APART",16.000 TL,03 Aralık,2025,2+1,55,Anadolu
Deregümü Yeni yolda Kiralık 3+1 Arakat Daire,23.000 TL,04 Aralık,2025,3+1,130,"Anadolu
Fatih Mah."
SÖYLEYİCİLER AZURE'DEN 3+1 SIFIR DAİRE,28.000 TL,02 Aralık,2025,3+1,135,"Anadolu
Muzaffer Türkeş Mh."
Alina Grup' tan Çarşı Merkezde Kiralık 2+1 Daire,16.500 TL,02 Aralık,2025,2+1,68,"Çelebiler
Gazi Kemal Mah."
"Zafer Mh. Bahçe kat 2+1, 60m2 Kiralık Apart",10.000 TL,02 Aralık,2025,2+1,65,"Anadolu
Zafer Mah."
KİRALIK ULTRA LÜKS 2+1 BALKONLU KOMBİLİ BAHÇE KATI STÜDYO DAİRE,16.000 TL,02 Aralık,2025,2+1,60,"Anadolu
Fatih Mah."
HIZIRBEY MAH KİRALIK DAİRE,20.000 TL,02 Aralık,2025,3+1,140,"Kutlubey
Hızırbey Mh."
ÇARŞI MERKEZDE// KİRALIK 3+1 DAİRE,20.000 TL,02 Aralık,2025,3+1,145,"Kutlubey
Pirimehmet Mah."
SÖYLEYİCİLER AZURE'DEN SIFIR 3+1 DAİRE,28.000 TL,02 Aralık,2025,3+1,135,"Anadolu
Muzaffer Türkeş Mh."
KİRALIK 1+1 STÜDYO DAİRE // YAKIT İNTERNET DAHİL,8.500 TL,03 Aralık,2025,1+1,38,"Anadolu
Modern Evler Mah."
FAİTH HALISAHA YANI KİRALIK 1+0,7.500 TL,02 Aralık,2025,Stüdyo (1+0),20,"Anadolu
Fatih Mah."
ERGÜLSOLAK EMLAKTAN İYAŞ AVM ALTINDA BÜYÜK 2+1 BALKONLU...,13.000 TL,04 Aralık,2025,2+1,70,"Anadolu
Modern Evler Mah."
Çünür Dr.Konut Nevapart Sahibinden eşyalı lüks apart,16.000 TL,02 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
"Detaylı Temizliği Yapıldı, Halılar Yeni Yıkamadan Geldi.",25.000 TL,02 Aralık,2025,3+1,160,"Anadolu
Çünür Mh."
Sahibinden Kiralık Doğalgazlı Ev,16.000 TL,02 Aralık,2025,3+1,140,"Çelebiler
Gülevler Mh."
ISPARTA SANAYİ MAHALLESİ'NDE KİRALIK DAİRE,35.000 TL,03 Aralık,2025,4+1,211,"Anadolu
Sanayi Mah."
Orman Bölge Müdürlüğü Arkası Geniş Ferah Apart,8.750 TL,04 Aralık,2025,Stüdyo (1+0),50,"Anadolu
Bahçelievler Mh."
SİDRE MAHALLESİNDE SIFIR 2+1 85 M² KİRALIK DAİRE,15.000 TL,08 Aralık,2025,2+1,85,"Çelebiler
Sidre Mah."
ISPARTA ÇÜNÜR MAHALLESİNDE 0 KİRALIK DAİRELER,28.500 TL,02 Aralık,2025,3+1,150,"Anadolu
Çünür Mh."
Gürsoy Yapı Kooperatifi Sahibinden Kiralık Ev,18.000 TL,02 Aralık,2025,3+1,155,"Kozluçay
Dere Mah."
ISPARTA MERKEZ ÇÜNÜR MAHALLESİNDE KİRALIK GENİŞ DAİRE,24.000 TL,03 Aralık,2025,3+1,135,"Anadolu
Çünür Mh."
Dr. Baridas'tan Kiralık Apart (2+1),11.000 TL,02 Aralık,2025,2+1,55,"Anadolu
Bahçelievler Mh."
"Fatih Mahallesi yakıt , aidat, internet dahil 2 kişilik apart",10.500 TL,02 Aralık,2025,2+1,40,"Anadolu
Fatih Mah."
ERKEK ÖĞRENCİYE TEK KİŞİLİK 1+0,6.500 TL,02 Aralık,2025,Stüdyo (1+0),25,"Anadolu
Bahçelievler Mh."
DİNÇER GYD-MUZAFFER TÜRKEŞ MÜSTAKİL TADINDA BAHÇELİ 3+1 19.000₺,19.000 TL,02 Aralık,2025,3+1,165,"Anadolu
Muzaffer Türkeş Mh."
FAVORİ EMLAKTAN KİRALIK 2+1 APART,13.000 TL,05 Aralık,2025,2+1,45,"Anadolu
Fatih Mah."
HIZIRBEY DE KİRALIK 1+1 LÜKS EŞYALI APART,14.500 TL,02 Aralık,2025,1+1,45,"Kutlubey
Hızırbey Mh."
ÖZKANLARDA HER ŞEY DAHİL KİRALIK 1+0 APART,8.000 TL,02 Aralık,2025,Stüdyo (1+0),20,"Anadolu
Bahçelievler Mh."
Güneş Gayrimenkul'en Çarşıda 2+1 Balkonlu Daire,15.000 TL,02 Aralık,2025,2+1,80,"Kutlubey
Pirimehmet Mah."
ZİRAAT EMLAK' TAN KİRALIK MODERNEVLER MAH. 1+1 LÜKS APART,15.000 TL,02 Aralık,2025,1+1,50,"Anadolu
Modern Evler Mah."
FATİH'TE KİRALIK 3+1 DAİRE,10.000 TL,03 Aralık,2025,3+1,130,"Anadolu
Fatih Mah."
MODERNEVLER MAHALLESİNDE KİRALIK GENİŞ VE BAKIMLI APART,13.000 TL,02 Aralık,2025,2+1,55,"Anadolu
Modern Evler Mah."
PEKŞEN EMLAKTAN KARAAĞAÇ MAH 3+1 SIFIR DAİRE,27.000 TL,02 Aralık,2025,3+1,155,"Kepeci
Davraz Mah."
ÇOK GENİŞ 2+1 ARA KAT DAİRE,18.000 TL,02 Aralık,2025,2+1,120,"Anadolu
Fatih Mah."
ÇÜNÜR YENİŞEHİR MAHALLESİNDE 2+1 KİRALIK APART,8.500 TL,04 Aralık,2025,2+1,50,"Anadolu
Çünür Mh."
ÇARŞI MERKEZDE KİRALIK LÜKS FUL TADİLATLI 75 m2 DAİRE,13.000 TL,03 Aralık,2025,2+0,75,"Kutlubey
Pirimehmet Mah."
ÇARŞI MERKEZDE ULTRA LÜKS 1+1 EŞYALI BİREYSEL KOMBİLİ APART,13.000 TL,03 Aralık,2025,1+1,45,"Kepeci
İstiklal Mh."
ISPARTA VATAN MAHALLESİ 2+1 KİRALIK DAİRE,18.000 TL,02 Aralık,2025,2+1,85,"Çelebiler
Vatan Mah."
Kiralık 3+1 Daire Muzaffer Türkeş Mahallesi,23.000 TL,02 Aralık,2025,3+1,140,"Anadolu
Muzaffer Türkeş Mh."
ISPARTA MERKEZ HERSEY DAHİL MEYDAN AVM'YE YAKIN 1+1 EŞYALI KİRAL,10.000 TL,02 Aralık,2025,1+1,50,"Kutlubey
Hızırbey Mh."
ISPARTA MERKEZ İYAŞA 10 DAKİKA 2+1 ESYALI APART,10.000 TL,02 Aralık,2025,2+1,55,"Anadolu
Fatih Mah."
AHBAP EMLAKTAN KİRALIK DAİRE,15.000 TL,02 Aralık,2025,3+1,150,"Kutlubey
Işıkkent Mh."
ÇÜNÜR'DE 1+1 LÜX APART DAİRE,12.000 TL,02 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
GÜLEVLER MAHALLESİNDE SİTE İÇERİSİNDE BAKIMLI KİRALIK DAİRE,21.000 TL,02 Aralık,2025,3+1,130,"Çelebiler
Gülevler Mh."
tomurcukkent sitesi 5. Kat 2+1 büyük balkonlu,24.000 TL,02 Aralık,2025,2+1,115,"Anadolu
Çünür Mh."
FATİH MAH. ADLİYE YAKINI MÜKEMMEL LOKASYON KİRALIK 3+1. DAİRE,13.750 TL,02 Aralık,2025,3+1,135,"Anadolu
Fatih Mah."
çünürde terminale yakın kiralık apart,10.000 TL,02 Aralık,2025,2+1,60,"Anadolu
Çünür Mh."
32 ARTIBİR EMLAKTAN FATİH MAHALLESİ'NDE GÜVENLİKLİ CAM BALKONLU,30.000 TL,02 Aralık,2025,3+1,171,"Anadolu
Fatih Mah."
32 ARTIBİR EMLAKTAN BÖCÜZADE PARKI YANI HERŞEY DAHİL LÜKS APART,6.500 TL,03 Aralık,2025,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh."
Bahçelievler Nüfus Müdürlüğü Yanı Arakat 2+1 Apart,13.500 TL,04 Aralık,2025,2+1,45,"Anadolu
Bahçelievler Mh."
GÖLCÜK YOLU ÜZERİ SİTE İÇERİSİNDE KİRALIK DAİRE,15.000 TL,01 Aralık,2025,2+1,90,"Anadolu
Muzaffer Türkeş Mh."
Kiralık 2+1 eşyalı ev aile apartmanında,26.000 TL,01 Aralık,2025,2+1,110,"Anadolu
Fatih Mah."
söyleyiciler azure de kiralık daire,25.000 TL,01 Aralık,2025,3+1,145,"Anadolu
Muzaffer Türkeş Mh."
ANADOLU EMLAKTAN/ÇÜN ÜR'DE/EŞYALI 1+1 DAİRE,13.000 TL,01 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
KULE 246'DA KİRALIK ARAKAT SİTE İÇERİSİNDE GENİŞ 3+1 DAİRE,24.000 TL,01 Aralık,2025,3+1,132,"Kepeci
Davraz Mah."
ISPARTA MERKEZ FATİH MAH. 2+0 APART.,10.000 TL,03 Aralık,2025,2+0,35,"Kutlubey
Pirimehmet Mah."
BAHÇELİEVLER MH. KİRALIK 1+1EŞYALI APART,12.500 TL,01 Aralık,2025,1+1,55,"Anadolu
Bahçelievler Mh."
ÖZKANLARA ÇARŞIYA 2 DK YÜRÜME MESAFESİNDE 2+0 APART,8.500 TL,03 Aralık,2025,2+0,45,"Kutlubey
Bağlar Mh."
"ÖZKANLAR'da KİRALIK 1+0 1+1 APART DAİRELER, YAKIT-İNTERNET dahil",10.500 TL,01 Aralık,2025,Stüdyo (1+0),40,"Kutlubey
Pirimehmet Mah."
Kelebek Vadisinde Kiralık Ev,27.000 TL,01 Aralık,2025,3+1,135,"Kutlubey
Hızırbey Mh."
ÇARŞI MERKEZDE 2+1 65M2 DAİRE,13.000 TL,01 Aralık,2025,2+1,70,"Çelebiler
İskender Mh."
ÇELİKEV GAYRİMENKUL'DEN BAHÇELİEVLERDE YAKIT DAHİL 1+0 APART,6.500 TL,02 Aralık,2025,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh."
ISPARTA FATİH MAHALLESİNDE 2+1 KİRALIK DAİRE,7.000 TL,02 Aralık,2025,2+1,75,"Anadolu
Fatih Mah."
Sahibinden Modernevlerde 2.katta Kiralık 1+1 Eşyalı Apart Balkon,12.500 TL,01 Aralık,2025,1+1,45,"Anadolu
Modern Evler Mah."
Kiralik 2+1 modern evler,12.500 TL,01 Aralık,2025,2+1,60,"Anadolu
Modern Evler Mah."
Gülistan Mh. Ana Cadde Üzerinde Kiralık 2+1 Yeni Daire,18.000 TL,01 Aralık,2025,2+1,70,"Kutlubey
Hızırbey Mh."
PİRİMEHMET MH. KİRALIK ÇATI KATİ 2+1 110m2. TERASLI DAİRE...,8.500 TL,01 Aralık,2025,2+1,120,"Kutlubey
Pirimehmet Mah."
ERGÜLSOLAK EMLAKTAN ANADOLU LİSE KARŞISI 1+0 LÜX,7.000 TL,01 Aralık,2025,Stüdyo (1+0),30,Anadolu
MODERN EVLERDE HERŞEY DAHİL KİRALIK 1+0 APART,7.000 TL,03 Aralık,2025,Stüdyo (1+0),30,"Anadolu
Modern Evler Mah."
ÇARŞI MERKEZDE 3+1 KİRALIK DAİRE,21.000 TL,01 Aralık,2025,3+1,140,"Çelebiler
Gazi Kemal Mah."
ISPARTA MERKEZ BAHÇELİEVLER MAHALLESİNDE KİRALIK APART DAİRELER,9.000 TL,01 Aralık,2025,Stüdyo (1+0),40,"Anadolu
Bahçelievler Mh."
ÇÜNÜR MAH SIFIR EŞYALI 1+1,15.000 TL,01 Aralık,2025,1+1,55,"Anadolu
Çünür Mh."
TİP FAKÜLTESİ KARŞISI ARA KAT,12.500 TL,01 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
32 ARTIBİR EMLAKTAN EMRE MAHALLESİ'NDE GÜVENLİK'Lİ ARAKAT DAİRE,25.000 TL,01 Aralık,2025,3+1,165,"Çelebiler
Emre Mah."
Sahibinden Hastane Caddesinde Kiralık Daire,16.000 TL,01 Aralık,2025,3+1,120,"Çelebiler
Turan Mah."
BAHÇELİEVLERDE IYAŞA VE DURAKLARA YAKIN BALKONLU BAHÇE KAT 1+1,10.000 TL,01 Aralık,2025,1+1,45,"Anadolu
Bahçelievler Mh."
Çünür Merkez de 1+1 Yeni Eşyalı önü açık Tıp fakültesine yakın,13.500 TL,01 Aralık,2025,1+1,55,"Anadolu
Çünür Mh."
Güneş Gayrimenkul'den Belediye Mevki 1+1 Mini Daire,13.000 TL,02 Aralık,2025,1+1,75,"Kutlubey
Pirimehmet Mah."
EMRE MAHALLESİ'NDE KİRALIK 3+1 DAİRE,18.000 TL,01 Aralık,2025,3+1,135,"Çelebiler
Emre Mah."
"ISPARTA MERKEZ İSTİKLAL MAH. 3+1,4. KAT SİTE İÇİ 140M2 KİRALIK",17.000 TL,01 Aralık,2025,3+1,140,"Kepeci
İstiklal Mh."
AHBAP EMLAKTAN HALIKENTTE KİRALIK DAİRE,15.000 TL,01 Aralık,2025,3+1,135,"Çelebiler
Halıkent Mh."
"DAİRE KONSEPT KİRALIK APART (Klima, bulaşık makinesi vb)",16.000 TL,01 Aralık,2025,2+1,55,"Anadolu
Modern Evler Mah."
VATAN MAH. 3+1 KİRALIK DAİRE,19.000 TL,01 Aralık,2025,3+1,140,"Çelebiler
Vatan Mah."
Gündoğdu'da 7/24 Güvenlikli Sitede Lüks Kiralık,17.000 TL,01 Aralık,2025,1+1,58,"Anadolu
Fatih Mah."
sahibinden kiralık apart,7.500 TL,01 Aralık,2025,Stüdyo (1+0),40,"Kutlubey
Pirimehmet Mah."
KİRALIK 2+1 GENİŞ FERAH BAHÇELİ TEMİZ DAİRE,15.000 TL,01 Aralık,2025,2+1,135,"Kutlubey
Işıkkent Mh."
FATİH MAHALLESİNDE SİTE İÇERİSİNDE 3+1 KİRALIK DAİRE,27.500 TL,01 Aralık,2025,3+1,150,"Anadolu
Fatih Mah."
ÇÜNÜR'DE ÜNİVERSİTEYE YAKIN KİRALIK GENİŞ 1+1 BAHÇE KAT APART,9.000 TL,01 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
MODERNEVLERDE ÜNİ DURAKLARINA YAKIN KİRALIK BALKONLU 2+1 APART,10.000 TL,01 Aralık,2025,2+1,55,"Anadolu
Modern Evler Mah."
MEYDAN AVM NİN YANINDA ISUBÜ'YE YAKIN KİRALIK GENİŞ 1+1 APART,11.000 TL,01 Aralık,2025,1+1,45,"Tokmacık
Yayla Mah."
ISPARTA ÇÜNÜR MAH KİRALIK 1+1 APART,12.500 TL,01 Aralık,2025,1+1,45,"Anadolu
Çünür Mh."
ISPARTA MODERNEVLER'DE KİRALIK 1+0 APART,8.000 TL,01 Aralık,2025,Stüdyo (1+0),30,"Anadolu
Modern Evler Mah."
Isubu yakını hastane caddesinde sıfır 1+1 eşyalı lüks daire,19.500 TL,01 Aralık,2025,1+1,48,"Çelebiler
Turan Mah."
EMRE MAHALLESİNDE SİTE İÇERİSİNDE GÜVENLİKLİ 3+1 DAİRE,26.000 TL,01 Aralık,2025,3+1,150,"Çelebiler
Emre Mah."
KİRALIK EŞYALI FULL APART DAİRE,10.000 TL,01 Aralık,2025,2+1,55,"Anadolu
Sanayi Mah."
ISPARTA MERKEZ MEYDAN AVM'YE YAKIN 1+1 HERSEY DAHİL KİRALIK APAR,9.000 TL,02 Aralık,2025,1+1,50,"Kutlubey
Hızırbey Mh."
Güneş Gayrimenkul'den Zafer Mahallesinde 1+1 Eşyasız Sıfır,10.000 TL,01 Aralık,2025,1+1,45,"Anadolu
Zafer Mah."
GEF GAYRİMENKUL den Özkanlar Kavşağında Kiralık 2+1 apart daire,11.750 TL,01 Aralık,2025,2+1,50,"Anadolu
Bahçelievler Mh."
BAĞLAR MAH KİRALIK 1+0 APART,8.000 TL,03 Aralık,2025,Stüdyo (1+0),35,"Kutlubey
Bağlar Mh."
PARLAİS EMLAKTAN KİRALIK ÇAYBOYUNDA 2+1 DAİRE,15.000 TL,01 Aralık,2025,2+1,105,"Çelebiler
Hisar Mah."
Meydan Avm yakınında ve çarşı merkezde 3+1 bahçe kat daire.,7.500 TL,01 Aralık,2025,3+1,96,"Kutlubey
Bağlar Mh."
32 ARTIBİR EMLAKTAN İYAŞ AVM CİVARI 2+1 APART DAİRE,10.000 TL,02 Aralık,2025,2+1,55,"Anadolu
Fatih Mah."
ISPARTA KUTLUBEY'DE 1+0 KİRALIK APART,8.500 TL,03 Aralık,2025,Stüdyo (1+0),35,Kutlubey
MERKEZDE KİRALIK APART DAİRE,7.500 TL,01 Aralık,2025,Stüdyo (1+0),30,"Anadolu
Bahçelievler Mh."
Sahibinden kiralık daire,17.000 TL,01 Aralık,2025,1+1,85,"Çelebiler
Gülcü Mh."
HIZIRBEYDE GÜZEL KONUMDA KİRALIK ARA KAT GENİŞ 2+1 DAİRE,10.000 TL,01 Aralık,2025,2+1,120,"Kutlubey
Hızırbey Mh."
RAMADA OTEL ARKASINDA GÜZEL KONUMDA KİRALIK 1+1 APART,9.500 TL,01 Aralık,2025,1+1,45,"Anadolu
Bahçelievler Mh."
zafer mah kiralık daire,8.000 TL,01 Aralık,2025,2+1,100,"Anadolu
Zafer Mah."
BAHÇELİEVLER'DE ÇOK GENİŞ KİRALIK 1+0 ARAKAT APART,9.000 TL,04 Aralık,2025,Stüdyo (1+0),40,"Anadolu
Bahçelievler Mh."
HIZIRBEY MAHALLESİNDE KİRALIK DAİRE,8.000 TL,01 Aralık,2025,2+1,110,"Kutlubey
Hızırbey Mh."
FERAH 1+1 DAİRE,8.000 TL,30 Kasım,2025,1+1,60,"Kutlubey
Bağlar Mh."
ÇÜNÜR MAHALLESİ KİRALIK SIFIR 2+1 APART,11.000 TL,30 Kasım,2025,2+1,60,"Anadolu
Çünür Mh."
BALKONLU KİRALIK 1+1 DAİRE,13.500 TL,02 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
IYAŞ AVM YE KOMŞU KİRALIK APART,9.500 TL,02 Aralık,2025,1+1,50,"Anadolu
Fatih Mah."
STADYUM CİVARI ŞEHİR MERKEZİ YÜRÜME MESAFESİNDE KİRALIK APARTLAR,10.000 TL,30 Kasım,2025,1+1,40,Kepeci
Kiralık Daire,16.000 TL,30 Kasım,2025,2+1,110,"Anadolu
Çünür Mh."
Caddede Sahibinden kiralık daire,20.000 TL,30 Kasım,2025,3+1,145,"Çelebiler
İskender Mh."
İSTİKLAL MAH KİRALIK 2+1 BALKONLU APART,16.000 TL,30 Kasım,2025,2+1,65,"Kepeci
İstiklal Mh."
GEF GAYRİMENKUL'den ÇARŞIDA KİRALIK 3+1 DAİRE,22.500 TL,30 Kasım,2025,3+1,140,Kepeci
GEF GAYRİMENKUL'den ÖZKANLARDA KİRALIK 2+1 DAİRE,20.500 TL,30 Kasım,2025,2+1,100,"Kutlubey
Pirimehmet Mah."
FATİH MAHALLESİNDE KİRALIK 1+0 APART,7.000 TL,30 Kasım,2025,Stüdyo (1+0),35,"Anadolu
Fatih Mah."
ISPARTA MERKEZ FATİH MAH. 1+0 APART.,7.000 TL,01 Aralık,2025,Stüdyo (1+0),20,"Anadolu
Fatih Mah."
32 ARTIBİR EMLAKTAN DOĞANCI MAHALLESİ'NDE 3+1 BAKIMLI DAİRE,11.000 TL,01 Aralık,2025,3+1,135,"Çelebiler
Doğancı Mh."
Fatih mahallesi filika apart,10.000 TL,02 Aralık,2025,2+0,55,"Anadolu
Fatih Mah."
